AIV,20200331,34.45,35.33,33.67,35.15,3086500
AIW,20200331,18.53,19.79,18.01,18.5,10300
AIZ,20200331,106.36,106.44,102.32,104.09,754900
AIZP,20200331,105.55,106.48,105.55,106.48,500
AJG,20200331,82.23,83.48,80.975,81.51,1693100
AJRD,20200331,42.9,43.66,41.15,41.83,591200
AJX,20200331,5.92,6.365,5.75,6.36,320200
AJXA,20200331,19.01,19.5,18.58,18.79,8400
AKO.A,20200331,10.3,10.72,9.71,10.17,900
AKO.B,20200331,10.73,12.83,10.73,12.33,31100
AKR,20200331,12.18,12.67,11.65,12.39,2299600
AL,20200331,22,23.05,21.725,22.14,1695800
AL-A,20200331,14.25,16.48,14.25,15.57,72400
ALB,20200331,55.52,57.73,55.11,56.37,2585800
ALC,20200331,50.51,51.52,50.33,50.82,882600
ALE,20200331,61.61,62.9,59.84,60.68,438200
ALEX,20200331,12.14,12.3,11,11.22,695000
ALG,20200331,88.92,94.36,87.725,88.78,67500
ALI-A,20200331,13.84,14.52,13.78,13.78,13600
ALI-B,20200331,14.1091,16,14.1091,15.5,44200
ALI-E,20200331,15,15.6,14.71,14.71,16600
ALK,20200331,28.96,30.705,28.13,28.47,2668400
ALL,20200331,93.4,94.19,91.21,91.73,2534900
ALL-B,20200331,24.35,24.748,24.35,24.36,30000
ALL-G,20200331,25.1,25.79,25.1,25.17,70800
ALL-H,20200331,22.91,23.57,22.79,23.1,181400
ALL-I,20200331,22.9,23.185,22.75,23.01,39700
ALL-Y,20200331,20.3,21.12,20.08,20.51,484800
ALLE,20200331,93.77,95.63,91.18,92.02,1142700
ALLY,20200331,15.25,15.5,14.27,14.43,8572400
ALP-Q,20200331,26.2,26.2,25.3,25.55,22200
ALSN,20200331,32.96,33.53,32.24,32.61,1295800
ALT.W,20200331,0.9,0.9,0.9,0.9,13300
ALTG,20200331,4.11,4.345,4,4.27,184200
ALU.U,20200331,9.9,9.9,9.9,9.9,15600
ALU.W,20200331,0.75,0.75,0.75,0.75,17000
ALUS,20200331,9.79,9.79,9.58,9.6,75500
ALV,20200331,47.02,48.28,45.93,46.01,912300
ALX,20200331,279.35,282.895,262.795,275.95,19600
AM,20200331,2.22,2.39,2.02,2.1,11275300
AMB.W,20200331,5.39,5.79,5.14,5.33,1400
AMBC,20200331,12.49,12.76,12.07,12.34,603400
AMC,20200331,3.15,3.29,3.08,3.16,3640400
AMCR,20200331,8.15,8.325,8.04,8.12,8216900
AME,20200331,73.02,73.71,70.57,72.02,2453600
AMG,20200331,60.35,60.75,57.8,59.14,605400
AMH,20200331,22.82,23.56,22.03,23.2,4912000
AMH-D,20200331,24.5,24.5,23.66,23.66,12300
AMH-E,20200331,23.85,24.24,23.62,24,29500
AMH-F,20200331,23.49,23.61,22.9232,23.61,2800
AMH-G,20200331,24.12,24.12,22.6917,23.05,3700
AMH-H,20200331,22.42,23.98,22.42,23.6,9100
AMK,20200331,20.04,20.54,19.745,20.39,185200
AMN,20200331,52.71,58.305,51.95,57.81,1168100
AMOV,20200331,11.99,12,11.19,11.7,8600
AMP,20200331,108.46,109.1,100,102.48,1281300
AMPY,20200331,0.5565,0.6297,0.52,0.5659,1018800
AMRC,20200331,16.59,17.5,15.94,17.03,232600
AMRX,20200331,3.11,3.57,3.11,3.48,3319400
AMT,20200331,228.46,230,215.915,217.75,4630200
AMX,20200331,11.99,12.22,11.72,11.78,6167000
AN,20200331,28.41,28.98,27.57,28.06,1122300
ANET,20200331,204.38,208.6182,199.22,202.55,1133100
ANF,20200331,9.31,9.585,8.76,9.09,2346400
ANH,20200331,1.15,1.2,1.12,1.13,2149400
ANH-A,20200331,13.4,13.85,13,13.58,18400
ANH-B,20200331,12.5,12.75,12.09,12.75,4300
